TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"2,422",2020-06-07 21:18:42.112,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,089db72a-a8fc-11ea-9f83-7536e9304423,,,AAAW1bAAFAABco3AAC
"2,423",2020-06-07 21:18:42.427,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06ee807e-a8fc-11ea-9f83-0b574158359e,,,AAAW1bAAFAABco3AAD
"2,424",2020-06-07 21:18:42.028,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,093933e2-a8fc-11ea-9f83-ff85a6de8132,,,AAAW1bAAFAABco3AAE
"2,425",2020-06-07 21:18:42.177,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06f18dc0-a8fc-11ea-9f83-7bd9bc9d68eb,,,AAAW1bAAFAABco3AAF
"2,427",2020-06-07 21:18:42.474,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,093897a1-a8fc-11ea-9f83-fd3e9c5eebb4,,,AAAW1bAAFAABco3AAG
"2,426",2020-06-07 21:18:42.688,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e04fa2-a8fc-11ea-9f83-89bb8bf1e527,,,AAAW1bAAFAABco3AAH
"2,429",2020-06-07 21:18:42.642,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06ed6f0c-a8fc-11ea-9f83-51e2d3001b22,,,AAAW1bAAFAABco3AAI
"2,430",2020-06-07 21:18:42.417,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e99e79-a8fc-11ea-9f83-59a64bf3b791,,,AAAW1bAAFAABco3AAJ
"2,431",2020-06-07 21:18:42.828,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06f27821-a8fc-11ea-9f83-73cc6cc49fb4,,,AAAW1bAAFAABco3AAK
"2,432",2020-06-07 21:18:42.446,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,06e558b6-a8fc-11ea-9f83-6929463393c8,,,AAAW1bAAFAABco3AAL
